Date,Week,DistanceMiles,TimeMinutes,Speed,AverageHeartRate,MarathonTime,Comment
22 Apr 18,16,10,106.5,5.63,174,279.2,
15 Apr 18,15,6.64,68.9,5.78,171,272.1,
4 Apr 18,14,3,27.27,6.60,,238.4,
3 Apr 18,14,4,38.7,6.20,161,253.7,
1 Apr 18,13,5,49.18,6.10,,257.9,
31 Mar 18,13,8,94.7,5.07,165,310.4,
30 Mar 18,13,3,27.4,6.57,163,239.5,
29 Mar 18,13,4,40.6,5.91,160,266.1,
27 Mar 18,13,2.5,24.4,6.15,164,255.9,
24 Mar 18,12,8,83.6,5.74,159,274.0,
22 Mar 18,12,4,39.7,6.05,156,260.2,
21 Mar 18,12,3,30.9,5.83,165,270.1,
20 Mar 18,12,4,41,5.85,161,268.8,
19 Mar 18,12,5,56.1,5.35,164,294.2,
18 Mar 18,11,5.51,56.4,5.86,176,268.4,
16 Mar 18,11,9.06,87.2,6.23,167,252.4,
14 Mar 18,11,2,20,6.00,155,262.2,
13 Mar 18,11,2,18.7,6.42,168,245.2,
11 Mar 18,10,5,49.7,6.04,172,260.6,
7 Mar 18,10,1.5,15.3,5.88,163,267.4,
6 Mar 18,10,3.44,33,6.25,,251.5,
3 Mar 18,9,3.25,36.75,5.40,,296.5,
